subject_id,placement,activity,start_time_s,end_time_s
1,waist,stand,0.0,1.98
1,waist,stand,1.0,2.98
1,waist,stand,2.0,3.98
1,waist,stand,3.0,4.98
1,waist,stand,4.0,5.98
1,waist,stand,5.0,6.98
1,waist,stand,6.0,7.98
1,waist,stand,7.0,8.98
1,waist,sit,0.0,1.98
1,waist,sit,1.0,2.98
1,waist,sit,2.0,3.98
1,waist,sit,3.0,4.98
1,waist,sit,4.0,5.98
1,waist,sit,5.0,6.98
1,waist,sit,6.0,7.98
1,waist,sit,7.0,8.98
1,waist,walk,0.0,1.98
1,waist,walk,1.0,2.98
1,waist,walk,2.0,3.98
1,waist,walk,3.0,4.98
1,waist,walk,4.0,5.98
1,waist,walk,5.0,6.98
1,waist,walk,6.0,7.98
1,waist,walk,7.0,8.98
1,waist,run,0.0,1.98
1,waist,run,1.0,2.98
1,waist,run,2.0,3.98
1,waist,run,3.0,4.98
1,waist,run,4.0,5.98
1,waist,run,5.0,6.98
1,waist,run,6.0,7.98
1,waist,run,7.0,8.98
1,waist,stairs_up,0.0,1.98
1,waist,stairs_up,1.0,2.98
1,waist,stairs_up,2.0,3.98
1,waist,stairs_up,3.0,4.98
1,waist,stairs_up,4.0,5.98
1,waist,stairs_up,5.0,6.98
1,waist,stairs_up,6.0,7.98
1,waist,stairs_up,7.0,8.98
1,waist,stairs_down,0.0,1.98
1,waist,stairs_down,1.0,2.98
1,waist,stairs_down,2.0,3.98
1,waist,stairs_down,3.0,4.98
1,waist,stairs_down,4.0,5.98
1,waist,stairs_down,5.0,6.98
1,waist,stairs_down,6.0,7.98
1,waist,stairs_down,7.0,8.98
1,waist,fall,0.0,1.98
1,waist,fall,1.0,2.98
1,waist,fall,2.0,3.98
1,waist,fall,3.0,4.98
1,waist,fall,4.0,5.98
1,waist,fall,5.0,6.98
1,waist,fall,6.0,7.98
1,waist,fall,7.0,8.98
1,wrist,stand,0.0,1.98
1,wrist,stand,1.0,2.98
1,wrist,stand,2.0,3.98
1,wrist,stand,3.0,4.98
1,wrist,stand,4.0,5.98
1,wrist,stand,5.0,6.98
1,wrist,stand,6.0,7.98
1,wrist,stand,7.0,8.98
1,wrist,sit,0.0,1.98
1,wrist,sit,1.0,2.98
1,wrist,sit,2.0,3.98
1,wrist,sit,3.0,4.98
1,wrist,sit,4.0,5.98
1,wrist,sit,5.0,6.98
1,wrist,sit,6.0,7.98
1,wrist,sit,7.0,8.98
1,wrist,walk,0.0,1.98
1,wrist,walk,1.0,2.98
1,wrist,walk,2.0,3.98
1,wrist,walk,3.0,4.98
1,wrist,walk,4.0,5.98
1,wrist,walk,5.0,6.98
1,wrist,walk,6.0,7.98
1,wrist,walk,7.0,8.98
1,wrist,run,0.0,1.98
1,wrist,run,1.0,2.98
1,wrist,run,2.0,3.98
1,wrist,run,3.0,4.98
1,wrist,run,4.0,5.98
1,wrist,run,5.0,6.98
1,wrist,run,6.0,7.98
1,wrist,run,7.0,8.98
1,wrist,stairs_up,0.0,1.98
1,wrist,stairs_up,1.0,2.98
1,wrist,stairs_up,2.0,3.98
1,wrist,stairs_up,3.0,4.98
1,wrist,stairs_up,4.0,5.98
1,wrist,stairs_up,5.0,6.98
1,wrist,stairs_up,6.0,7.98
1,wrist,stairs_up,7.0,8.98
1,wrist,stairs_down,0.0,1.98
1,wrist,stairs_down,1.0,2.98
1,wrist,stairs_down,2.0,3.98
1,wrist,stairs_down,3.0,4.98
1,wrist,stairs_down,4.0,5.98
1,wrist,stairs_down,5.0,6.98
1,wrist,stairs_down,6.0,7.98
1,wrist,stairs_down,7.0,8.98
1,wrist,fall,0.0,1.98
1,wrist,fall,1.0,2.98
1,wrist,fall,2.0,3.98
1,wrist,fall,3.0,4.98
1,wrist,fall,4.0,5.98
1,wrist,fall,5.0,6.98
1,wrist,fall,6.0,7.98
1,wrist,fall,7.0,8.98
1,pocket,stand,0.0,1.98
1,pocket,stand,1.0,2.98
1,pocket,stand,2.0,3.98
1,pocket,stand,3.0,4.98
1,pocket,stand,4.0,5.98
1,pocket,stand,5.0,6.98
1,pocket,stand,6.0,7.98
1,pocket,stand,7.0,8.98
1,pocket,sit,0.0,1.98
1,pocket,sit,1.0,2.98
1,pocket,sit,2.0,3.98
1,pocket,sit,3.0,4.98
1,pocket,sit,4.0,5.98
1,pocket,sit,5.0,6.98
1,pocket,sit,6.0,7.98
1,pocket,sit,7.0,8.98
1,pocket,walk,0.0,1.98
1,pocket,walk,1.0,2.98
1,pocket,walk,2.0,3.98
1,pocket,walk,3.0,4.98
1,pocket,walk,4.0,5.98
1,pocket,walk,5.0,6.98
1,pocket,walk,6.0,7.98
1,pocket,walk,7.0,8.98
1,pocket,run,0.0,1.98
1,pocket,run,1.0,2.98
1,pocket,run,2.0,3.98
1,pocket,run,3.0,4.98
1,pocket,run,4.0,5.98
1,pocket,run,5.0,6.98
1,pocket,run,6.0,7.98
1,pocket,run,7.0,8.98
1,pocket,stairs_up,0.0,1.98
1,pocket,stairs_up,1.0,2.98
1,pocket,stairs_up,2.0,3.98
1,pocket,stairs_up,3.0,4.98
1,pocket,stairs_up,4.0,5.98
1,pocket,stairs_up,5.0,6.98
1,pocket,stairs_up,6.0,7.98
1,pocket,stairs_up,7.0,8.98
1,pocket,stairs_down,0.0,1.98
1,pocket,stairs_down,1.0,2.98
1,pocket,stairs_down,2.0,3.98
1,pocket,stairs_down,3.0,4.98
1,pocket,stairs_down,4.0,5.98
1,pocket,stairs_down,5.0,6.98
1,pocket,stairs_down,6.0,7.98
1,pocket,stairs_down,7.0,8.98
1,pocket,fall,0.0,1.98
1,pocket,fall,1.0,2.98
1,pocket,fall,2.0,3.98
1,pocket,fall,3.0,4.98
1,pocket,fall,4.0,5.98
1,pocket,fall,5.0,6.98
1,pocket,fall,6.0,7.98
1,pocket,fall,7.0,8.98
2,waist,stand,0.0,1.98
2,waist,stand,1.0,2.98
2,waist,stand,2.0,3.98
2,waist,stand,3.0,4.98
2,waist,stand,4.0,5.98
2,waist,stand,5.0,6.98
2,waist,stand,6.0,7.98
2,waist,stand,7.0,8.98
2,waist,sit,0.0,1.98
2,waist,sit,1.0,2.98
2,waist,sit,2.0,3.98
2,waist,sit,3.0,4.98
2,waist,sit,4.0,5.98
2,waist,sit,5.0,6.98
2,waist,sit,6.0,7.98
2,waist,sit,7.0,8.98
2,waist,walk,0.0,1.98
2,waist,walk,1.0,2.98
2,waist,walk,2.0,3.98
2,waist,walk,3.0,4.98
2,waist,walk,4.0,5.98
2,waist,walk,5.0,6.98
2,waist,walk,6.0,7.98
2,waist,walk,7.0,8.98
2,waist,run,0.0,1.98
2,waist,run,1.0,2.98
2,waist,run,2.0,3.98
2,waist,run,3.0,4.98
2,waist,run,4.0,5.98
2,waist,run,5.0,6.98
2,waist,run,6.0,7.98
2,waist,run,7.0,8.98
2,waist,stairs_up,0.0,1.98
2,waist,stairs_up,1.0,2.98
2,waist,stairs_up,2.0,3.98
2,waist,stairs_up,3.0,4.98
2,waist,stairs_up,4.0,5.98
2,waist,stairs_up,5.0,6.98
2,waist,stairs_up,6.0,7.98
2,waist,stairs_up,7.0,8.98
2,waist,stairs_down,0.0,1.98
2,waist,stairs_down,1.0,2.98
2,waist,stairs_down,2.0,3.98
2,waist,stairs_down,3.0,4.98
2,waist,stairs_down,4.0,5.98
2,waist,stairs_down,5.0,6.98
2,waist,stairs_down,6.0,7.98
2,waist,stairs_down,7.0,8.98
2,waist,fall,0.0,1.98
2,waist,fall,1.0,2.98
2,waist,fall,2.0,3.98
2,waist,fall,3.0,4.98
2,waist,fall,4.0,5.98
2,waist,fall,5.0,6.98
2,waist,fall,6.0,7.98
2,waist,fall,7.0,8.98
2,wrist,stand,0.0,1.98
2,wrist,stand,1.0,2.98
2,wrist,stand,2.0,3.98
2,wrist,stand,3.0,4.98
2,wrist,stand,4.0,5.98
2,wrist,stand,5.0,6.98
2,wrist,stand,6.0,7.98
2,wrist,stand,7.0,8.98
2,wrist,sit,0.0,1.98
2,wrist,sit,1.0,2.98
2,wrist,sit,2.0,3.98
2,wrist,sit,3.0,4.98
2,wrist,sit,4.0,5.98
2,wrist,sit,5.0,6.98
2,wrist,sit,6.0,7.98
